"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",3860028,349055,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",3859442,349053,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",3859431,349053,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",3859420,349052,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",3858708,349055,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",3788617,344169,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",3635142,327173,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",3055565,305696,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2873874,541791,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2873874,541791,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2873874,541791,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",1438962,319844,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",1407121,143735,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",1212821,206130,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",1212821,206130,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",1212821,206130,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",1212821,206130,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",1209549,205378,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp",1071614,314253,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/TotalAmt",1071140,314081,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/Desc",1065463,313433,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable",929740,49300,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName",926272,49024,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName/BusinessNameLine1Txt",926272,49024,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/CashGrantAmt",917443,48201,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress",911685,47425,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/AddressLine1Txt",911685,47425,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/CityNm",911685,47425,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/StateAbbreviationCd",911685,47425,"2022v4.0, 2022v4.1, 2022v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/ZIPCd",911685,47425,"2022v4.0, 2022v4.1, 2022v5.0"
