"xpath","count_occurrences","count_filings","schema_versions","first_year","last_year","latest_version","current_version","variable_name","rdb_relationship","rdb_table","label","form","form_part","variable_scope","data_type_simple","path_type"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpendGrp/AffiliatedGroupTotalAmt",4181,4139,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SC_02_EXP_TOT_LOB_AFFGROUP","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - affiliated group totals","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpendGrp/FilingOrganizationsTotalAmt",51199,50691,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SC_02_EXP_TOT_LOB_FILEORG","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - filing org's totals","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures",13836,13836,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,,,,,,,,,"HEADER"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures/AffiliatedGroupTotals",929,929,"2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,"SC_02_EXP_TOT_LOB_AFFGROUP","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - affiliated group totals","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures/FilingOrganizationsTotals",8818,8818,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_EXP_TOT_LOB_FILEORG","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - filing org's totals","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2",9277,9277,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,,,,,,,,,"HEADER"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2/CurrentYear",8469,8469,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_AVE_EXP_TOT_LOB_CY","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - current year","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2/CurrentYearMinus1",8153,8153,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_AVE_EXP_TOT_LOB_CY_M1","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - current year minus one","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2/CurrentYearMinus2",7649,7649,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_AVE_EXP_TOT_LOB_CY_M2","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - current year minus two","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2/CurrentYearMinus3",7145,7145,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_AVE_EXP_TOT_LOB_CY_M3","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - current year minus three","SCHED-C","PART-02-A","PZ","numeric","DATA"
