"xpath","TY2009","TY2010","TY2011","TY2012","TY2013","TY2014","TY2015","TY2016","TY2017","TY2018","TY2019","TY2020","TY2021","TY2022","TY2023","TY2024"
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/ZIPCode",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName/BusinessNameLine1",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/EIN",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ElectingOrg",48,69,75,92,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/GrassrootsNontaxableAmount",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/LobbyingNontaxableAmount",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/OtherExemptPurposeExpenditures",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ShareOfExcessLobbyingExpendtrs",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyExpendMnsLobbyingNontx",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyingGrassrootMinusNontx",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalDirectLobbying",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeExpenditures",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalGrassrootsLobbying",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalLobbyingExpenditures",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1",0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1Txt",0,0,0,0,0,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2Txt",0,0,0,0,0,0,0,0,1,1,2,3,3,4,3,2
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/EIN",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ElectingOrganizationInd",0,0,0,0,85,90,101,113,140,121,139,165,158,167,190,92
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/GrassrootsNontxAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/LobbyNontxAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/OtherExemptPurposeExpendAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ShareExcessLobbyExpendAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotLbbyExpendMnsLobbyNontxAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalDirectLobbyAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalExemptPurposeExpendAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalGrassrootsLobbyAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyExpenditureAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyGrssrootMnsNontxAmt",0,0,0,0,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress",0,0,0,0,123,126,145,165,182,166,182,208,216,225,244,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1",0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1Txt",0,0,0,0,0,126,145,165,182,166,182,208,216,225,244,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2Txt",0,0,0,0,0,4,4,2,3,2,3,5,4,5,4,3
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/City",0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/CityNm",0,0,0,0,0,126,145,165,182,166,182,208,216,225,244,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/State",0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
