"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",3330070,283694,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",3329550,283655,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",3329493,283647,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",3329482,283646,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",3328800,283694,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",3281876,280406,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",3141482,266339,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",2687558,253274,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2414575,429672,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2414575,429672,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2414575,429672,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",1191256,261781,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",1169310,112061,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",950785,152622,"2019v5.0, 2019v5.1, 2019v5.2"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",950785,152622,"2019v5.0, 2019v5.1, 2019v5.2"
