"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",3759180,336480,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",3758175,336427,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",3758141,336421,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",3758136,336421,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",3757153,336480,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",3699958,332204,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",3540968,315723,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",2991277,295601,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2799622,526490,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2799622,526490,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2799622,526490,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",1386271,308355,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",1357900,136763,"2021v4.2, 2021v4.0, 2021v4.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",1217091,202724,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",1217091,202724,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",1217091,202724,"2021v4.2, 2021v4.0, 2021v4.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",1217091,202724,"2021v4.2, 2021v4.0, 2021v4.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",1213529,201980,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp",1031882,303113,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/OtherExpensesGrp/TotalAmt",1030937,302765,"2021v4.0, 2021v4.2, 2021v4.1"
"/Return/ReturnData/IRS990/OtherExpensesGrp/Desc",1027339,302534,"2021v4.1, 2021v4.0, 2021v4.2"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable",899810,46351,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName/BusinessNameLine1Txt",899660,46237,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName",899660,46237,"2021v4.1, 2021v4.2, 2021v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/CashGrantAmt",891136,45473,"2021v4.2, 2021v4.0, 2021v4.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/StateAbbreviationCd",887753,44833,"2021v4.2, 2021v4.0, 2021v4.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/CityNm",887753,44833,"2021v4.2, 2021v4.0, 2021v4.1"
