"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",3159142,261612,"2017v2.3, 2017v2.0, 2017v2.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",3158302,261612,"2017v2.2, 2017v2.0, 2017v2.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",3141352,259914,"2017v2.2, 2017v2.0, 2017v2.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",3140898,259763,"2017v2.0, 2017v2.2, 2017v2.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",3140891,259768,"2017v2.2, 2017v2.3, 2017v2.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",3112859,258804,"2017v2.0, 2017v2.3, 2017v2.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",2988049,246587,"2017v2.0, 2017v2.3, 2017v2.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",2560354,234715,"2017v2.2, 2017v2.0, 2017v2.3"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2360859,395435,"2017v2.3, 2017v2.2, 2017v2.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2360859,395435,"2017v2.2, 2017v2.0, 2017v2.3"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2360859,395435,"2017v2.2, 2017v2.0, 2017v2.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",1112752,103007,"2017v2.2, 2017v2.3, 2017v2.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",1100440,241167,"2017v2.2, 2017v2.3, 2017v2.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",885035,139144,"2017v2.3, 2017v2.2, 2017v2.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",885035,139144,"2017v2.0, 2017v2.2, 2017v2.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",885035,139144,"2017v2.2, 2017v2.3, 2017v2.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",885035,139144,"2017v2.0, 2017v2.2, 2017v2.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",882858,138697,"2017v2.0, 2017v2.2, 2017v2.3"
"/Return/ReturnData/IRS990/OtherExpensesGrp",844447,241574,"2017v2.3, 2017v2.2, 2017v2.0"
