"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",2858333,233519,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",2857450,233519,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",2827995,231774,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",2826410,231609,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",2825554,231605,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",2816328,231031,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",2718104,221862,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",2314562,209191,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2096020,354205,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2096020,354205,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2096020,354205,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",981607,89929,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",975056,214199,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",812923,124894,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",812923,124894,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",812923,124894,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",812923,124894,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",810604,124513,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp",762060,216431,"2015v2.0, 2015v2.1, 2015v3.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/TotalAmt",761858,216395,"2015v2.0, 2015v2.1, 2015v3.0"
