"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionA",2302737,179688,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/NamePerson",2296993,179121,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/Title",2287091,179688,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/ReportableCompFromOrganization",2245985,178001,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/OtherCompensation",2238633,177703,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/ReportableCompFromRelatedOrgs",2233584,177656,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/AverageHoursPerWeek",2222158,174145,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/IndividualTrusteeOrDirector",1829764,158884,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation",1534224,269145,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/Explanation",1534224,269145,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/ReturnReference",1262583,229768,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/Identifier",1044432,215469,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
