"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",3890809,354768,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",3890151,354764,"2023v5.1, 2023v5.0, 2023v4.0, 2023v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",3890148,354764,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",3890124,354754,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",3889680,354768,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",3830799,350231,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",3664577,332159,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",3062709,309998,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",2889109,547695,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",2889109,547695,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",2889109,547695,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",1458101,325304,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",1441901,148155,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",1203505,206379,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",1203505,206379,"2023v5.1, 2023v5.0, 2023v4.0, 2023v6.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",1203505,206379,"2023v5.1, 2023v5.0, 2023v4.0, 2023v6.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",1203505,206379,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",1200732,205714,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990/OtherExpensesGrp",1086462,319031,"2023v5.1, 2023v5.0, 2023v4.0, 2023v6.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/TotalAmt",1085888,318829,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/Desc",1078570,317974,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable",974603,50554,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName",971205,50271,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientBusinessName/BusinessNameLine1Txt",971205,50271,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/CashGrantAmt",961064,49416,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress",956311,48715,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/AddressLine1Txt",956311,48715,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/CityNm",956311,48715,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/StateAbbreviationCd",956311,48715,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/USAddress/ZIPCd",956311,48715,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/PurposeOfGrantTxt",936605,45870,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/RecipientEIN",910563,43564,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/IRCSectionDesc",847668,34902,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/ProgramServicesAmt",830617,266240,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/ExpenseAccountOtherAllwncAmt",699458,123016,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/EmployeeBenefitProgramAmt",699395,123154,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable/NonCashAssistanceAmt",647073,32925,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnHeader/ReturnTypeCd",561147,561147,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnHeader/BuildTS",561147,561147,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnHeader/Filer",561147,561147,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnHeader/BusinessOfficerGrp/PersonNm",561147,561147,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnHeader/BusinessOfficerGrp/PersonTitleTxt",561147,561147,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnHeader/TaxYr",561147,561147,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/BusinessOfficerGrp/SignatureDt",561147,561147,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return/ReturnHeader/Filer/BusinessNameControlTxt",561147,561147,"2023v5.1, 2023v6.0, 2023v5.0, 2023v4.0"
"/Return/ReturnHeader/BusinessOfficerGrp",561147,561147,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return",561147,561147,"2023v5.1, 2023v5.0, 2023v4.0, 2023v6.0"
"/Return/ReturnHeader/TaxPeriodEndDt",561147,561147,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/Filer/EIN",561147,561147,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1Txt",561147,561147,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/Filer/BusinessName",561147,561147,"2023v5.1, 2023v6.0, 2023v4.0, 2023v5.0"
"/Return/ReturnHeader/TaxPeriodBeginDt",561147,561147,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/ReturnTs",561147,561147,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader",561147,561147,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnData",561147,561147,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return/ReturnHeader/Filer/USAddress/StateAbbreviationCd",560566,560566,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnHeader/Filer/USAddress",560566,560566,"2023v4.0, 2023v5.0, 2023v6.0, 2023v5.1"
"/Return/ReturnHeader/Filer/USAddress/AddressLine1Txt",560566,560566,"2023v6.0, 2023v5.0, 2023v4.0, 2023v5.1"
"/Return/ReturnHeader/Filer/USAddress/CityNm",560566,560566,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnHeader/Filer/USAddress/ZIPCd",560566,560566,"2023v5.0, 2023v4.0, 2023v6.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleO",547695,547695,"2023v6.0, 2023v4.0, 2023v5.0, 2023v5.1"
"/Return/ReturnData/IRS990ScheduleR/IdRelatedTaxExemptOrgGrp",536056,68751,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
"/Return/ReturnData/IRS990ScheduleR/IdRelatedTaxExemptOrgGrp/DisregardedEntityName/BusinessNameLine1Txt",535967,68711,"2023v5.1, 2023v4.0, 2023v5.0, 2023v6.0"
