"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp",2710702,218619,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/TitleTxt",2695602,218619,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/PersonNm",2673771,216416,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromOrgAmt",2671999,216389,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OtherCompensationAmt",2668166,216058,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/ReportableCompFromRltdOrgAmt",2666953,215996,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRt",2579454,207217,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/IndividualTrusteeOrDirectorInd",2191499,195612,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail",1802858,331361,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/ExplanationTxt",1802858,331361,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990ScheduleO/SupplementalInformationDetail/FormAndLineReferenceDesc",1802858,331361,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/AverageHoursPerWeekRltdOrgRt",928306,83635,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/Form990PartVIISectionAGrp/OfficerInd",910323,199510,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp",767335,116417,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/AverageHrsPerWkDevotedToPosRt",767335,116417,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/TitleTxt",767335,116417,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/CompensationAmt",767335,116417,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeEmplGrp/PersonNm",764835,116017,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp",717503,203025,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/TotalAmt",716732,202925,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/Desc",714150,202230,"2014v5.0, 2014v6.0"
"/Return/ReturnData/IRS990/OtherExpensesGrp/ProgramServicesAmt",531420,165201,"2014v6.0, 2014v5.0"
"/Return/ReturnData/IRS990ScheduleI/RecipientTable",412297,31441,"2014v5.0, 2014v6.0"
