"xpath","count_occurrences","count_filings","schema_versions"
"/Return/ReturnData/IRS990/Form990PartVIISectionA",2080816,159504,"2011v1.5, 2011v1.4, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/NamePerson",2074919,158925,"2011v1.5, 2011v1.4, 2011v1.3, 2011v1.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/Title",2067533,159504,"2011v1.2, 2011v1.3, 2011v1.5, 2011v1.4"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/ReportableCompFromOrganization",2030899,158110,"2011v1.5, 2011v1.4, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/OtherCompensation",2021803,157853,"2011v1.5, 2011v1.4, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/ReportableCompFromRelatedOrgs",2018063,157818,"2011v1.2, 2011v1.5, 2011v1.4, 2011v1.3"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/AverageHoursPerWeek",1990799,154551,"2011v1.3, 2011v1.5, 2011v1.4, 2011v1.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/IndividualTrusteeOrDirector",1654170,141492,"2011v1.3, 2011v1.5, 2011v1.4, 2011v1.2"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation",1314960,239040,"2011v1.2, 2011v1.3, 2011v1.5, 2011v1.4"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/Explanation",1314960,239040,"2011v1.3, 2011v1.5, 2011v1.4, 2011v1.2"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/ReturnReference",1064642,192378,"2011v1.2, 2011v1.5, 2011v1.3"
"/Return/ReturnData/IRS990ScheduleO/GeneralExplanation/Identifier",903389,202531,"2011v1.3, 2011v1.5, 2011v1.2"
"/Return/ReturnData/IRS990/Form990PartVIISectionA/Officer",652618,142821,"2011v1.3, 2011v1.5, 2011v1.4, 2011v1.2"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl",554261,82048,"2011v1.3, 2011v1.2, 2011v1.5"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/Compensation",554261,82048,"2011v1.2, 2011v1.5, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AvgHoursPerWkDevotedToPosition",554261,82048,"2011v1.2, 2011v1.5, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/Title",554261,82048,"2011v1.2, 2011v1.5, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS",552594,82015,"2011v1.5, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS/State",552594,82015,"2011v1.2, 2011v1.5, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS/AddressLine1",552594,82015,"2011v1.3, 2011v1.2, 2011v1.5"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS/City",552594,82015,"2011v1.5, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS/ZIPCode",552594,82015,"2011v1.5, 2011v1.2, 2011v1.3"
"/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/PersonName",551272,81630,"2011v1.3, 2011v1.2, 2011v1.5"
"/Return/ReturnData/IRS990/OtherExpenses",545803,149570,"2011v1.2, 2011v1.5, 2011v1.4, 2011v1.3"
